LocId,LocName,Lon,Lat,OnStreet,City,ZipCode
43819,Reh Elverum Rehab ANS,11549699,60880916,MEIERIGATA,"ELVERUM, Elverum",2406
43820,Mat Hygga Fjellkro,10878102,61142670,Ljøsheim,"MESNALI, Lillehammer",2610
43821,BU BUNNPRIS HAMAR,11083431,60796157,VANGSVEGEN,"HAMAR, Hamar",2317
43822,Plo Naustet Avlastningssenter,11118269,60788873,ÅKERSHAGAN,"OTTESTAD, STANGE",2312
43823,Bu Rimi Hafjell Øyer,10439680,61242538,KONGSVEGEN,"ØYER, Øyer",2636
43824,Løvebergsmoen,11599083,60899878,TORS VEG,"ELVERUM, Elverum",2409
43825,Kjerneby,11584503,60890800,DAMTJERNVEGEN,"ELVERUM, Elverum",2409
43826,Elverum Storgata,11564012,60880699,STORGATA,"ELVERUM, Elverum",2406
43827,St. HansHaugen,11578912,60883945,ST. HANSHAUGEN,"ELVERUM, Elverum",2409
43828,Bu Kiwi Segalstad Bru,10222672,61226790,Fargerivegen,ØSTRE GAUSDAL,NULL
43829,Bu Spar Gausdal,10227719,61226343,GAUSDALSVEGEN,"ØSTRE GAUSDAL, Gausdal",2651
43830,Bu Rema 1000 Olrud,11067253,60829932,KÅRTORPVEGEN,"FURNES, Ringsaker",2320
43831,Hår Brua Hår og Negler,11561460,60879744,ELVARHEIMGATA,"ELVERUM, Elverum",2406
43832,Mat Lunica Pub Moelv,10700669,60929991,STORGATA,"MOELV, Ringsaker",2390
43833,Skibladnerbrygga Moelv,10694900,60924285,STRANDVEGEN,"MOELV, Ringsaker",2390
43834,Skibladnerbrygga Hamar,11072517,60788853,BRYGGA,"HAMAR, Hamar",2317
43835,Arb Helnor AS,10936572,60879143,STRANDVEGEN,"BRUMUNDDAL, Ringsaker",2380
43836,Tingnes Kulturhus,10941250,60762675,TINGNESVEGEN,"NES PÅ HEDMARK, Rings...",2350
43837,Bu Rema 1000,11369081,61131186,TRUDVANGGATA,"RENA, Åmot",2450
43838,Bu Fabrikkutsalget Brumunddal,10941685,60883612,ØVREGATE,"BRUMUNDDAL, Ringsaker",2380
43839,Losjehuset Ajertun,11056416,60809847,ALUVEGEN,"HAMAR, Hamar",2319
43840,Le Herredshuset Legesenter Moelv,10702194,60930462,ÅSMARKVEGEN,"MOELV, Ringsaker",2390
43841,Plo Brandvalheimen Brandval,12016925,60319920,GOGGESTREDET,"BRANDVAL, Kongsvinger",2219
43842,Bhg Hempa barnehage,10958333,60899262,BØRKESVEVEGEN,"BRUMUNDDAL, Ringsaker",2380
43843,Le Midtbyen park,11071892,60795900,GRØNNEGATA,"HAMAR, Hamar",2317
43844,Hot Quality Hotell & Resort Hafjell,10437993,61241722,HUNDERVEGEN,"ØYER, Øyer",2636
43845,Hår Karin Alhaug Kjeverud frisørsalong,11342544,60816145,BERGSVEVEGEN,"LØTEN, Løten",2340
43846,Akt Puls Kongsvinger,11968770,60206801,INDUSTRIVEGEN,"KONGSVINGER, Kongsvinger",2212
43847,Vidarvoll Festlokale,11806106,60724137,NULL,Braskereidfoss,2435
43848,Hot Hafjell Hotell og Apartments,10437553,61239346,HUNDERVEGEN,"ØYER, Øyer",2636
43849,Bu Kjell Sykkelsport Brumunddal,10943044,60885541,FURNESVEGEN,"BRUMUNDDAL, Ringsaker",2380
43850,Solbakken,10790285,62270851,SOLBAKKEN,"TYNSET, Tynset",2500
43851,Brødrene Stensby,11561551,60883862,STORGATA,"ELVERUM, Elverum",2408
43852,Kopperud avlastings og dagsenter,10675545,60769036,VESTRE TOTENVEG,"GJØVIK, Gjøvik",2817
43854,Tl Afseth Einar,11066845,60794161,LILLE STRANDGATE,"HAMAR, Hamar",2317
43855,Le Legehuset Nova,11077552,60791895,TORGGATA,"HAMAR, Hamar",2317
43856,"Mat Tante Gerd`s kafe, Hamar",11073009,60793245,STRANDGATA,"HAMAR, Hamar",2317
43857,"Rolfshallen, Elverum",11556566,60888192,OLAV SCHULSTADS VEG,"ELVERUM, Elverum",2408
43858,Hlp Tjønnlykkja,10297650,61319157,NULL,"Tretten, Øyer",2635
43859,"Bu Felleskjøpet, Elverum",11548029,60880334,VESTHEIMGATA,"ELVERUM, Elverum",2406
43860,"Hår Rolf`s salong, Kongsvinger",12004799,60194601,STORGATA,"KONGSVINGER, Kongsvinger",2212
43861,"Arb Statoil, Brumunddal",10939142,60882717,NYGATA,"BRUMUNDDAL, Ringsaker",2380
43862,Tranberghallen,10672667,60813218,KRONPRINS OLAVS VEG,"GJØVIK, Gjøvik",2819
43863,Fot Tone`s fotstudio,12012434,60607803,KAFFEGATA,"FLISA, Åsnes",2270
43864,Bu YC Rør AS,11567286,60881968,DAMMENVEGEN,"ELVERUM, Elverum",2406
43865,Fot Sissel´s Hud & Fot Studio,12040613,60648621,SØNSTERUDVEG,"GJESÅSEN, Åsnes",2280
43866,Bu Jernia Kongsvinger,12007925,60187025,TRONSMOS VEG,"KONGSVINGER, Kongsvinger",2211
43867,Bu Hobbyhuset Hamar AS,11070183,60795589,GRØNNEGATA,"HAMAR, Hamar",2317
43868,"Fiskely, Brumunddal",10950941,60854854,STRANDVEGEN,"BRUMUNDDAL, Ringsaker",2380
43869,Irishman,11073547,60793054,STRANDGATA,"HAMAR, Hamar",2317
43870,"Kir Mjøsen Kiropraktorklinikk, Dag Pley...",10703361,60920033,STORGATA,"MOELV, Ringsaker",2390
43871,BU Copp Ekstra/post i butikk,11977944,60200496,KRISTIAN WALBYS VEG,"KONGSVINGER, Kongsvinger",2212
43872,Bu Obs Olrud,11067253,60829932,KÅRTORPVEGEN,"FURNES, Ringsaker",2320
43873,"Bu Euronics, Brumunddal (Roger`s Lyd og...",10943667,60885578,INDUSTRIGATA,"BRUMUNDDAL, Ringsaker",2380
43874,"Bu Rema 1000, Rena",11369081,61131186,TRUDVANGGATA,"RENA, Åmot",2450
43875,"Mat Peppes Pizza,Elverum",11562864,60884848,LUNDGAARDVEGEN,"ELVERUM, Elverum",2408
43876,"Mat Peppes Pizza,Trysil",12262835,61315755,STORVEGEN,"TRYSIL, Trysil",2420
43877,"Mat Elvelangs mat og drikke, kongsvinger",11999375,60190560,RÅDHUSPLASSEN,"KONGSVINGER, Kongsvinger",2212
43878,"Skyttelen, Elverum",11561306,60882373,STORGATA,"ELVERUM, Elverum",2408
43879,Akt Fjellheimen Leirskole,11722795,61831073,Fjellheimen,"ENGERDAL, Engerdal",2440
43880,Mat Alanya restaurant DA,11075322,60793430,VANGSVEGEN,"HAMAR, Hamar",2317
43881,"Bu Rema 1000, Trysil",12261258,61315418,STORVEGEN,"TRYSIL, Trysil",2420
43882,Akt Grindatun bofellesskap,8577695,61122082,Vang,"Vang, Vang i Valdres",2975
43883,Mat Hoels café ANS,11069101,60794668,STRANDGATA,"HAMAR, Hamar",2317
43884,Le Råholt Legesenter,11176906,60279135,GLADBAKKVEGEN,RÅHOLT,NULL
43885,Bu Oasen Kiosk,11562567,60882126,ST. OLAVS GATE,"ELVERUM, Elverum",2406
43886,"Pub Soundgarden, Elverum",11562567,60882126,ST. OLAVS GATE,"ELVERUM, Elverum",2406
43887,BU Trygve Brovold AS,11191305,60717575,STORGATA,"STANGE, Stange",2335
43888,Bu Coop Marked Rendalen,11076761,61890483,NULL,Rendalen,2485
43889,Bil Skogveien Auto AS,11147546,60805987,KAPPVEGEN,"RIDABU, Hamar",2322
43890,Le Sentrum Legekontor (Dr.Amer Abdulkarim),11680735,60254402,BRUVEGEN,"SKARNES, Sør-Odal",2100
43892,Sk Solvang skole (Hamar),11085627,60809039,HAUGLIVEGEN,"HAMAR, Hamar",2319
43893,Krk Misjonshuset,11076811,60795990,HOLSETGATA,"HAMAR, Hamar",2318
43894,PLO Wiikbakken avlastningssenter,11200722,60845947,SANDBERGSVEGEN,"VANG PÅ HEDMARK, Hamar",2324
43895,"Høgskolen i Hedmark, avd hamar",11074728,60796774,HOLSETGATA,"HAMAR, Hamar",2318
43896,Bu Lefdal ElektroMarked Hamar,11099945,60796188,SAGVEGEN,"HAMAR, Hamar",2321
43897,Sam Solvang grendehus,11080480,60812449,STAFSBERGVEGEN,"HAMAR, Hamar",2319
43898,"Øverby Kompetansesenter, Gjøvik",10678046,60786614,TEKNOLOGIVEGEN,"GJØVIK, Gjøvik",2815
43899,"Sam Nordvang Forsamlingslokale, Brøttum",10675365,60992758,NORDHEIMVEGEN,"BRØTTUM, Ringsaker",2372
43900,Akt Alm Østre,11141961,60704944,Almsgutua,"STANGE, Stange",2335
43901,Bu Maxbo Kongsvinger,12026382,60189821,ØSTRE SOLØRVEG,"KONGSVINGER, Kongsvinger",2211
43902,"Bu Knutstad & Holen AS, fisk og skalldyr",11076263,60792954,GRØNNEGATA,"HAMAR, Hamar",2317
43903,Ba DNB bank ASA,12010506,60612243,KAFFEGATA,"FLISA, Åsnes",2270
43904,Sr-produkter AS,11216366,61695498,Åkrestrømmen,RENDALEN,2585
43905,Le Signe Eriksen,11560266,60882265,ELVARHEIMGATA,"ELVERUM, Elverum",2408
43906,Fot Alternativ Helse og Velvære AS,10943012,60883473,GAMMELGATA,"BRUMUNDDAL, Ringsaker",2380
43907,IBM,11111105,60784710,LØVSTADVEGEN,"OTTESTAD, Stange",2312
43908,Bu Marihøna AS,11543456,60391734,SENTRUMSVEGEN,"SAGSTUA, Nord-Odal",2120
43909,HÅR I.S.Frisør,10941628,60884636,BRUGATA,"BRUMUNDDAL, Ringsaker",2380
43910,Avl Røyskattlia bofellesskap,10718848,60214700,Røyskattlia,"Harestua, Lunner",2743
43911,Mat Spisestua Bistro,10941431,60884153,ØVREGATE,"BRUMUNDDAL, Ringsaker",2380
43912,Hår Hår- Akutten,11680081,60252553,BRUGATA,"SKARNES, Sør-Odal",2100
43913,TL Marie Eng,11070731,60795174,TORGGATA,"HAMAR, Hamar",2317
43914,Pub Brødr. Stensby Eftf.,11561551,60883862,STORGATA,"ELVERUM, Elverum",2408
43915,Bu Kiwi Hamar,11072436,60799269,SKOLEGATA,"HAMAR, Hamar",2318
43916,Ba Sparebank 1 Gudbrandsdal,10466774,61114276,STORGATA,"LILLEHAMMER, Lillehammer",2609
43917,Sam Rosenlund Park AS,11333056,60808525,ÅDALSBRUKVEGEN,"LØTEN, Løten",2340
43918,SK HPS Steiner/Grobunn,11230228,60757228,FRENNINGVEGEN,"ILSENG, Stange",2344
43959,"PLO Solhellinga 14, Avlastningssenter",11041635,60807416,SOLHELLINGA,"HAMAR, Hamar",2315
43960,Akt Puls Flisa,12015243,60611424,IDRETTSVEGEN,"FLISA, Åsnes",2270
43961,Mat Hot & Spicy AS,11075406,60792893,TORGGATA,"HAMAR, Hamar",2317
