StopId,StopAbbr,StopName,Lat,Lon
424,TOKSE1,Tokse Sollivegen,61594251,9775788
425,SOLLINF1,Solli,61613663,9776010
426,TOKSEFE1,Toksefeltet,61600240,9762810
427,BAKK1NF1,Bakken,61601547,9810266
428,SØDOR_G1,Sødorp Gjestgiveri,61590280,9767510
429,KVAM_NF1,Kvam,61664663,9676596
431,BREK_SK1,Brekka skole,61633492,9719994
433,FETEN1,Feten,61656083,9607053
434,STENEN1,Stenen,61641919,9717224
435,GARDVEG1,Gardvegkrysset,61670634,9684877
436,FORBRIG1,Forbrigd,61666435,9732136
437,SELSVER1,Sel kirke Selsverket,61800655,9554249
438,SEL_NER1,Sel Nerøygard,61840472,9411679
439,HAUKLIS1,Haukliseter,61890710,9485230
440,HØV_HF1,Høvringen høyfjellshotell,61891618,9474896
441,ØYGA_SE1,Øygardseter,61894360,9459340
442,ÅSEN_SV1,Åsen Sagdalsvegen,61827407,9392203
443,SELSVAT1,Selsvatnet,61845402,9361048
444,OTTA_SS1,Otta skysstasjon,61772709,9536153
445,ÅSÅR_BR1,Åsåren bru,61792740,9445323
446,BREDI1,Bredi,61740772,9546678
447,JOSTENS1,Josten sag,61778933,9475016
448,SMUKSJØ1,Smuksjøseter,61887510,9574040
449,OTTA_H1,Ottahallen,61777201,9539073
450,SÆTA_SE1,Sæta,61728480,9545890
451,SJOA1,Sjoa,61679666,9548888
452,LEIRBUH1,Leirbu handel,61733040,9170270
453,DJUPDAL1,Djupdalen,61745430,9200160
454,BJØLSTA1,Bjølstadmo,61757688,9293365
455,FAUKSTA1,Faukstad,61710930,9423040
456,HØGKJØRR,Høgkjørrbekken,61641066,9241679
457,MURULIK1,Murulikrysset,61677969,9196257
458,STORM_E1,Stormyrenget,61718274,9158226
459,SÆTH_H1,Sæther,61737179,9381397
460,SLÅEN1,Slåen Heidal øverbygd,61746297,9349753
461,HARPEFO1,Harpefoss,61577351,9860293
462,KILEKRY1,Kilekrysset E6,61573532,9875719
463,JENSBAK1,Jensbakken,61572076,9914308
464,LISTAD1,Listad,61564792,9933259
465,HUND_KO1,Hundorp Kommunelokalet,61557304,9938946
466,HUND_KR1,Hundorpkrysset,61549963,9966031
467,FRYAT_E6,Fryatun E6,61548444,10044295
468,KVARVET1,Kvarvet,61601340,9928640
469,ROLVSBA1,Rolvsbakken,61577835,9939846
470,KLEPPEN1,Kleppen,61559210,9982820
471,ALME_SF1,Alme,61558315,9967740
472,FRYATUN1,Fryatun,61549552,10045345
473,MIDTB_OS,Midtbygda oppvekstsenter,61559900,9948670
474,LILLEHO1,Lillehove,61552342,9947383
475,SFRON_US,Sør-Fron ungdomsskole,61576372,9866047
477,RANNSTA1,Rannstad,61572340,9810760
478,GÅLÅKRY1,Gålåkrysset,61565798,9844680
479,GRINDTO1,Grindtorget,61559856,9890250
480,SKILLES1,Skillestad,61535112,9977721
481,HAVERST1,Haverstad,61535527,9987840
482,DALSE_H1,Dalseter høyfjellshotell,61469637,9458884
483,GÅLÅ,Gålå,61501940,9790880
484,VADET1,Vadet,61564631,9818778
485,SKORILL1,Skorill,61569077,9844845
486,TOFTESF1,Tofte,61523260,9956620
487,HEGGESVI,Heggesvingen,61533756,10013529
488,STAVNH_1,Stavnhaugen,61529350,9997480
489,KLANKEN1,Klanken,61555058,9801118
490,SNIPPAR1,Snipparampa,61540292,9973562
491,FRON_YS1,Fron ysteri,61566632,9917140
492,FORÅBR1,Foråbrua,61550361,10062243
493,RING_SST,Ringebu skysstasjon,61529405,10138760
494,GR_R_SF1,Kommunegrensa Ringebu Sør Fron,61535498,10054413
495,KRYSSET1,Krysset,61520168,10128936
496,RANKLEI1,Rankleiv,61509331,10136902
497,SPIDSB_1,Spidsbergseter,61671900,10103520
498,VENABU1,Venabu,61650531,10110535
499,TRABELI1,Trabelia,61617110,10075380
500,VENABYG2,Venabygd,61593424,10052555
501,NORDRUM2,Nordrum,61550582,10090537
502,GUNSTAD1,Gunstad,61545520,10112260
503,LJOSHAU2,Ljoshaugen,61631800,9988160
504,BØ_RI1,Bø,61532410,10157850
505,ODLO2,Odlo,61493869,10193189
506,BØLIA1,Bølia,61550170,10157470
507,KOLS_RI1,Kolstad,61546810,10149600
508,HOVDERI1,Hovde,61664110,9981610
509,RING_US1,Ringebu ungdomsskole,61526911,10147359
510,RING_SK1,Ringebu skole,61531017,10143352
511,SIKLE1,Sikle,61515590,10203590
512,FORRESTA,Forrestadsætra,61666670,10123900
514,KVITFJ_T,Kvitfjelltunet,61453170,10188560
515,TEIGERI1,Teige,61446993,10204326
516,BJØRGEVO,Bjørgevolden,61384090,10264510
517,BERGERI1,Berge,61459920,10163490
518,MOHEIM1,Moheimsflata,61448175,10178908
519,BRAUTEN1,Brauten,61432330,10185330
520,LOSNA1,Losna,61388504,10215311
521,MORK_RI2,Mork,61464259,10288447
522,BREKKOM1,Brekkom,61471584,10221500
523,FLYE1,Flye,61462936,10200933
525,THUJRSV1,Thujordsvingen,61425376,10230490
526,MOASTUE1,Moastuen,61392140,10245540
527,ORDERLØ1,Orderløkken,61390597,10241030
528,FÅVAN_K1,Fåvang kirke,61426593,10220613
529,STENSET1,Stenset,61419972,10238476
530,MYKLSÆB1,Mykkelsæterbakken,61402454,10278033
531,STRA_SK1,Strand skule,61445206,10181230
532,RØNNING3,Rønningen,61446568,10129010
533,HILSTAD1,Hilstad,61470114,10225038
534,S-FÅV_S1,Sør-Fåvang skole,61393093,10243609
535,THUJORD1,Thujord,61430719,10229985
536,RUDDERU1,Rudderud,61385207,10283787
537,ROTÅS1,Rotås,61487520,10154280
538,DALENRI1,Dalen,61455420,10349228
539,KVITFJE1,Kvitfjell,61471109,10162350
540,RUSTBER1,Rustberg Tolstad,61279939,10361854
541,ODDVANG1,Oddvang,61278053,10386708
542,KLUKKER2,Klukkerhågån,61273380,10419440
543,TINGBER1,Tingberg,61263444,10415390
544,GRANR_M1,Granrudmoen,61245327,10439676
545,ØYER_US1,Øyer ungdomsskole Lundstad,61236159,10443465
546,FOSSEGÅ1,Fossegården Hunderfossen øst,61222638,10445072
547,BRUVOLL1,Bruvoll,61206687,10432342
548,ENSBY1,Ensby,61193614,10416450
549,LÅGÅRUD2,Lågårud,61273623,10374682
550,RABB_ØY2,Rabben,61262889,10401335
551,RUST_ØY2,Rusten,61250640,10418310
552,MYROM2,Myrom,61235060,10428600
553,MELLOMB1,Mellomberg,61288630,10305610
554,KVAM_ØY1,Kvam,61288838,10348068
555,BÅSEN1,Båsen,61295994,10413011
556,HOV_ØY1,Hov,61279210,10414470
557,ØYERKRK1,Øyer kirke,61265017,10425837
558,ØSTERHA1,Østerhaug,61261550,10433023
559,BJØRGEØ1,Bjørge,61225446,10462239
560,PELLEST1,Pellestova,61226130,10545460
561,SOLV_SKØ,Solvang skole,61238196,10440410
562,HAFJ_ALP,Hafjell alpinsenter,61234639,10446535
563,LEDUMSG1,Ledumsgrinda E6,61357080,10287060
565,TRETT_B1,Tretten bru,61311980,10302222
566,PÅLSR_Ø1,Pålsrud,61373144,10249400
567,TRETT_S1,Tretten stasjon,61311679,10296778
568,VASR_MV1,Vasrud Musdalsvegen,61303184,10285542
569,GONSTAD1,Gonstad,61300918,10238773
570,BJØR_SØ1,Bjørnstad,61287131,10259809
571,DULVEN1,Dulven,61297389,10266812
572,LANGSVE1,Langsvea,61312063,10270366
573,VEDUM,Vedum,61362348,10305964
574,TÅRSTAD1,Tårstadkrysset,61335669,10300085
575,STALSBE1,Stalsberg,61302554,10314504
576,BRATTBA1,Brattbakken,61325572,10293576
577,BØRKJES1,Børkjestua,61341106,10297339
578,AURV_SK1,Aurvoll skole,61314869,10305551
580,SEGA_BR1,Segalstad bru,61227246,10221591
581,AULESTA1,Aulestad,61219089,10272854
582,FOLLEBU2,Follebu,61215969,10284407
584,FJERDUM2,Fjerdum,61232634,10211434
585,VOLD2,Vold,61252522,10183147
586,TORV_GA1,Torvet,61273070,10144819
587,JEVANHA1,Jevanhaugen,61278330,10163290
588,SVINGVS1,Svingvoll Skeisvegen,61294779,10187340
